"Function","Effective Time","Spin Time","Overhead Time","CPU Time: Self","Module","Function (Full)","Source File","Start Address"
"RtlUserThreadStart","4.24249","0.210018","0","0","ntdll.dll","RtlUserThreadStart","[Unknown]","0x18005aa30"
"DeoptimizationBlob","0","0.0149529","0","0","[Dynamic code]","DeoptimizationBlob","[Unknown]","0x13044b7a420"
"java::io::BufferedWriter::write","0","0.0149529","0","0","[Compiled Java code]","java::io::BufferedWriter::write(java::lang::String, int, int)","BufferedWriter.java","0x1303d6b8500"
"func@0x180672300","0.0147027","0","0","0","jvm.dll","func@0x180672300","[Unknown]","0x180672300"
"func@0x1800292c5","4.24249","0.210018","0","0","ucrtbase.dll","func@0x1800292c5","[Unknown]","0x1800292c5"
"func@0x1806719c0","0.0146694","0","0","0","jvm.dll","func@0x1806719c0","[Unknown]","0x1806719c0"
"BaseThreadInitThunk","4.24249","0.210018","0","0","KERNEL32.DLL","BaseThreadInitThunk","[Unknown]","0x180012560"
"func@0x1800050ac","3.75354","0.151703","0","0","jli.dll","func@0x1800050ac","[Unknown]","0x1800050ac"
"func@0x180553d70","0.013958","0","0","0","jvm.dll","func@0x180553d70","[Unknown]","0x180553d70"
"func@0x180553bb0","0.013958","0","0","0","jvm.dll","func@0x180553bb0","[Unknown]","0x180553bb0"
"call_stub","3.32244","0.0149529","0","0","[Dynamic code]","call_stub","[Unknown]","0x13044b20f57"
"func@0x180550cf0","0.013958","0","0","0","jvm.dll","func@0x180550cf0","[Unknown]","0x180550cf0"
"func@0x1806711f0","0.013958","0","0","0","jvm.dll","func@0x1806711f0","[Unknown]","0x1806711f0"
"func@0x180566260","0.013958","0","0","0","jvm.dll","func@0x180566260","[Unknown]","0x180566260"
"func@0x1803c5aef","3.0622","0.0149529","0","0","jvm.dll","func@0x1803c5aef","[Unknown]","0x1803c5aef"
"func@0x18031de10","0.0138925","0","0","0","jvm.dll","func@0x18031de10","[Unknown]","0x18031de10"
"func@0x18031ba50","0.0138925","0","0","0","jvm.dll","func@0x18031ba50","[Unknown]","0x18031ba50"
"func@0x18031b2a0","0.0138925","0","0","0","jvm.dll","func@0x18031b2a0","[Unknown]","0x18031b2a0"
"new_type_array Runtime1 stub","0.0137099","0","0","0","[Dynamic code]","new_type_array Runtime1 stub","[Unknown]","0x13044b8e700"
"org::start::MatrixMultiplication$M::readMatrixFromFile","0.571695","0","0","0","[Compiled Java code]","org::start::MatrixMultiplication$M::readMatrixFromFile(java::lang::String, int)","MatrixMultiplication.java","0x1303d652360"
"func@0x1807ba180","0","0.0136389","0","0","jvm.dll","func@0x1807ba180","[Unknown]","0x1807ba180"
"func@0x1807b38a0","0.488943","0.058315","0","0","jvm.dll","func@0x1807b38a0","[Unknown]","0x1807b38a0"
"func@0x18064b7d0","0.488943","0.058315","0","0","jvm.dll","func@0x18064b7d0","[Unknown]","0x18064b7d0"
"func@0x180350e60","0.0128771","0","0","0","jvm.dll","func@0x180350e60","[Unknown]","0x180350e60"
"func@0x1800bd700","0","0.0127816","0","0","jvm.dll","func@0x1800bd700","[Unknown]","0x1800bd700"
"func@0x1800bdb50","0","0.0127816","0","0","jvm.dll","func@0x1800bdb50","[Unknown]","0x1800bdb50"
"sun::nio::cs::StreamEncoder::write","0.0149635","0","0","0","[Compiled Java code]","sun::nio::cs::StreamEncoder::write(char[], int, int)","StreamEncoder.java","0x1303d6e1740"
"func@0x1807b937f","0.48516","0.0485785","0","0","jvm.dll","func@0x1807b937f","[Unknown]","0x1807b937f"
"func@0x180002dc0","0.0100029","0.00244574","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x180002dc0","[Unknown]","0x180002dc0"
"func@0x1801a8ef0","0.0124351","0","0","0","jvm.dll","func@0x1801a8ef0","[Unknown]","0x1801a8ef0"
"func@0x1807c57e0","0.0124351","0","0","0","jvm.dll","func@0x1807c57e0","[Unknown]","0x1807c57e0"
"func@0x180217a40","0.418985","0.0461328","0","0","jvm.dll","func@0x180217a40","[Unknown]","0x180217a40"
"func@0x1805dfcb0","0.0121641","0","0","0","jvm.dll","func@0x1805dfcb0","[Unknown]","0x1805dfcb0"
"func@0x1805e1b50","0.0121641","0","0","0","jvm.dll","func@0x1805e1b50","[Unknown]","0x1805e1b50"
"func@0x1802193c0","0.276323","0.0461328","0","0","jvm.dll","func@0x1802193c0","[Unknown]","0x1802193c0"
"func@0x1801c1ad0","0.0119608","0","0","0","jvm.dll","func@0x1801c1ad0","[Unknown]","0x1801c1ad0"
"func@0x1801c1a00","0.0119608","0","0","0","jvm.dll","func@0x1801c1a00","[Unknown]","0x1801c1a00"
"func@0x1801c6b60","0.0119608","0","0","0","jvm.dll","func@0x1801c6b60","[Unknown]","0x1801c6b60"
"func@0x180209830","0.253797","0.0452754","0","0","jvm.dll","func@0x180209830","[Unknown]","0x180209830"
"func@0x18019a6a0","0.253797","0.0452754","0","0","jvm.dll","func@0x18019a6a0","[Unknown]","0x18019a6a0"
"func@0x18055db70","0.0114011","0","0","0","jvm.dll","func@0x18055db70","[Unknown]","0x18055db70"
"func@0x18064c090","0.199388","0","0","0","jvm.dll","func@0x18064c090","[Unknown]","0x18064c090"
"func@0x18029d38e","0.00236482","0.00872277","0","0","jvm.dll","func@0x18029d38e","[Unknown]","0x18029d38e"
"func@0x180663630","0.00236482","0.00872277","0","0","jvm.dll","func@0x180663630","[Unknown]","0x180663630"
"func@0x18065c56d","0.00236482","0.00872277","0","0","jvm.dll","func@0x18065c56d","[Unknown]","0x18065c56d"
"func@0x18065b970","0.00236482","0.00872277","0","0","jvm.dll","func@0x18065b970","[Unknown]","0x18065b970"
"func@0x180659570","0.00236482","0.00872277","0","0","jvm.dll","func@0x180659570","[Unknown]","0x180659570"
"func@0x18019d6d0","0.00236482","0.00872277","0","0","jvm.dll","func@0x18019d6d0","[Unknown]","0x18019d6d0"
"func@0x18019e080","0.00236482","0.00872277","0","0","jvm.dll","func@0x18019e080","[Unknown]","0x18019e080"
"func@0x18082ec50","0","0.00973649","0","0","jvm.dll","func@0x18082ec50","[Unknown]","0x18082ec50"
"func@0x18082ebc0","0","0.00973649","0","0","jvm.dll","func@0x18082ebc0","[Unknown]","0x18082ebc0"
"_new_array_nozero_Java","0.00942605","0","0","0","[Dynamic code]","_new_array_nozero_Java","[Unknown]","0x13044b8ba80"
"java::lang::String::substring","0.00942605","0","0","0","[Compiled Java code]","java::lang::String::substring(int, int)","String.java","0x1303d60a780"
"java::util::Arrays::copyOfRange","0.00942605","0","0","0","[Compiled Java code]","java::util::Arrays::copyOfRange(byte[], int, int)","Arrays.java","0x1303d607980"
"func@0x18020ae00","0.129859","0.0365113","0","0","jvm.dll","func@0x18020ae00","[Unknown]","0x18020ae00"
"java::lang::StringLatin1::newString","0.00942605","0","0","0","[Compiled Java code]","java::lang::StringLatin1::newString(byte[], int, int)","StringLatin1.java","0x1303d60a060"
"func@0x1801c35f0","0","0.00872277","0","0","jvm.dll","func@0x1801c35f0","[Unknown]","0x1801c35f0"
"java::lang::String::split","0.15187","0","0","0","[Compiled Java code]","java::lang::String::split(java::lang::String, int)","String.java","0x1303d686f40"
"func@0x18012e480","0.00617215","0","0","0","jvm.dll","func@0x18012e480","[Unknown]","0x18012e480"
"func@0x18012f680","0.00617215","0","0","0","jvm.dll","func@0x18012f680","[Unknown]","0x18012f680"
"func@0x18012d860","0.00617215","0","0","0","jvm.dll","func@0x18012d860","[Unknown]","0x18012d860"
"func@0x18012e2c0","0.00617215","0","0","0","jvm.dll","func@0x18012e2c0","[Unknown]","0x18012e2c0"
"func@0x18012def0","0.00617215","0","0","0","jvm.dll","func@0x18012def0","[Unknown]","0x18012def0"
"func@0x180141bf0","0.00617215","0","0","0","jvm.dll","func@0x180141bf0","[Unknown]","0x180141bf0"
"func@0x1801324d0","0.00617215","0","0","0","jvm.dll","func@0x1801324d0","[Unknown]","0x1801324d0"
"func@0x1800626dc","0.00527426","0","0","0","amplxe_tpssmrte_javaprof_1.0.dll","func@0x1800626dc","[Unknown]","0x1800626dc"
